Country,count,squat_mean,bench_mean,deadlift_mean,squat_max,bench_max,deadlift_max,iso3
USA,272861,164.41879078997565,106.97873496208189,192.6593813472605,490.0,325.0,487.5,USA
Russia,34936,166.8848857846224,115.89896453007357,191.69171030369077,380.0,320.0,420.0,RUS
GBR,19870,163.34781698293654,103.69589410639689,194.57773818511248,403.0,242.5,385.0,GBR
Canada,15566,174.26970503181028,110.08854921613982,201.21733842991134,427.5,272.5,402.5,CAN
Australia,9425,167.9480848806366,105.97005942275044,197.84446153846153,400.0,245.0,382.5,AUS
Ukraine,5695,158.1681307097681,109.35906453314577,184.6085121350686,380.0,260.0,385.0,UKR
Germany,4909,177.77419026278264,120.85302505601956,206.8539543416225,370.0,270.0,373.0,DEU
Finland,4742,172.1237874314635,116.76961197806833,202.62389287220583,355.5,281.0,380.5,FIN
France,3557,165.13182329769273,110.6395218002813,195.33581669946585,350.0,257.5,372.5,FRA
Netherlands,3212,171.87854251012146,108.99206102117061,203.39461394769614,372.5,251.5,358.5,NLD
Ireland,3211,158.76192211838006,99.16365306758019,191.07316100903142,327.5,230.5,350.0,IRL
Norway,2839,172.95209580838323,117.39151109545615,199.4508629799225,335.0,252.5,363.5,NOR
New Zealand,2732,171.46980234260616,106.61724642987917,198.41816184547784,377.0,237.5,347.5,NZL
Poland,2664,177.04672672672672,113.28873075478784,199.12601803155522,410.0,250.0,433.5,POL
Italy,2424,176.77516501650166,114.51176227816757,205.23143564356437,370.5,222.5,338.0,ITA
Czechia,2072,187.29261226460648,122.87017374517374,212.54222972972974,350.0,243.5,350.0,CZE
Sweden,2017,180.95131448412698,120.3313138324244,209.5587605354487,350.0,240.5,377.5,SWE
Belgium,1432,183.48812019566736,122.20412299091545,212.10998603351956,370.0,237.5,337.5,BEL
South Africa,1285,159.32190179267343,100.21534267912773,189.74766355140187,370.0,254.0,382.5,ZAF
Japan,1154,168.33824804856894,112.24740034662045,192.30545927209707,330.0,232.5,332.5,JPN
Kazakhstan,1085,177.35055350553506,119.74815498154982,195.34976958525345,350.0,245.0,355.0,KAZ
Belarus,945,157.16137566137567,107.89682539682539,183.8825396825397,340.0,240.0,345.0,BLR
Denmark,823,177.0741190765492,119.45686512758202,205.48906439854193,315.0,207.5,340.0,DNK
Lithuania,792,170.71401515151516,118.1199494949495,194.8945707070707,322.5,265.0,342.5,LTU
