Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Henk Nijstad,M,SBD,Raw,47.0,45-49,,Masters 45-49,82.5,82.5,,,,,110.0,,,,,90.0,,,,,140.0,340.0,1,230.31,227.77,219.16,47.21,,Netherlands,,DPL,IPL,2022-02-27,Netherlands,,Breezand,Dutch Nationals
Coert Hoppenbrouwers,M,SBD,Raw,57.0,55-59,,M-4,79.5,82.5,160.0,180.0,190.0,,190.0,102.5,112.5,-115.0,,112.5,190.0,210.0,-217.5,,210.0,512.5,1,354.71,351.28,338.56,72.51,,Netherlands,,GPU,WPU,2016-04-16,Germany,,,Deutsche Meisterschaft
Tim Brouwers,M,SBD,Raw,28.5,24-34,24-39,Open,91.0,93,-25.0,25.0,,,25.0,125.0,-130.0,-130.0,,125.0,75.0,,,,75.0,225.0,11,144.68,142.84,136.84,29.75,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Lisette Verlaan,F,SBD,Raw,23.5,24-34,24-39,Open,56.0,57,25.0,,,,25.0,55.0,-60.0,-60.0,,55.0,65.0,,,,65.0,145.0,4,168.07,170.61,150.91,34.47,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Arjen Francke,M,SBD,Raw,20.5,20-23,19-23,Open,101.7,105,75.0,,,,75.0,135.0,140.0,-145.0,,140.0,75.0,,,,75.0,290.0,9,177.22,175.33,167.43,36.34,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Debby Van de Bos,F,SBD,Raw,38.0,35-39,24-39,Open,64.3,67.5,35.0,45.0,50.0,,50.0,32.5,-35.0,-35.0,,32.5,65.0,75.0,85.0,,85.0,167.5,2,177.94,177.15,156.38,36.17,,Netherlands,,PAGermany,WPF,2016-04-30,Germany,,Tambach Diethartz,Deutsche Meisterschaften im KDK Bankdrücken und Kreuzheben
Jaroslaw Reners,M,SBD,Raw,32.0,24-34,24-39,Novice Senior,70.8,75,60.0,75.0,85.0,,85.0,40.0,45.0,-60.0,,45.0,70.0,95.0,110.0,,110.0,240.0,1,178.87,178.31,172.72,36.06,,Netherlands,,LGBT,,2022-07-30,England,,Manchester,International Powerlifting Championships
Nicky Gorissen,M,SBD,Raw,25.0,24-34,24-39,Open,97.2,100,30.0,-32.5,,,30.0,190.0,200.0,-207.5,,200.0,75.0,,,,75.0,305.0,1,190.1,187.82,179.49,39.06,,Netherlands,,IPL,IPL,2019-10-18,Germany,,Leipzig,World Powerlifting Championships
Frank Calor,M,SBD,Raw,36.5,35-39,24-39,Open,61.98,66,70.0,,,,70.0,110.0,120.0,-130.0,,120.0,50.0,,,,50.0,240.0,3,197.33,198.81,193.8,38.68,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Reno Kleijn,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,106.84,120,-110.0,110.0,-115.0,,110.0,70.0,75.0,80.0,,80.0,140.0,155.0,-170.0,,155.0,345.0,1,206.64,204.93,195.73,42.25,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Djordi Kruyt,M,SBD,Raw,20.5,20-23,19-23,Open,84.08,93,90.0,95.0,100.0,,100.0,65.0,-72.5,72.5,,72.5,120.0,130.0,142.5,,142.5,315.0,49,211.13,208.68,200.61,43.32,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Sebastiaan Tempelaars,M,SBD,Raw,30.5,24-34,24-39,Open,163.02,120+,75.0,-370.0,,,75.0,235.0,241.0,251.5,,251.5,75.0,,,,75.0,401.5,1,211.22,219.49,205.53,41.34,Yes,Netherlands,,KNKF-SP,IPF,2021-05-30,Netherlands,,Maasland,Open NK Powerliften Classic Heren
Mart Siemerink,M,SBD,Raw,20.5,20-23,19-23,Juniors,88.88,93,95.0,105.0,112.5,,112.5,72.5,-75.0,-75.0,,72.5,130.0,140.0,-155.0,,140.0,325.0,14,211.49,208.82,200.24,43.47,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Mart van Doorn,M,SBD,Raw,19.5,20-23,19-23,Juniors,81.0,83,100.0,105.0,110.0,,110.0,60.0,65.0,70.0,,70.0,122.5,130.0,-135.0,,130.0,310.0,9,212.21,210.0,202.23,43.45,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Myrthe Scheepers,F,SBD,Raw,24.5,24-34,24-39,Open,85.24,84+,70.0,75.0,-80.0,,75.0,47.5,-52.5,52.5,,52.5,97.5,105.0,-110.0,,105.0,232.5,4,212.46,205.85,179.76,43.66,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
